[08-19-2021 :: 12:19:27] [World] [Error] Error decrypting message from client
[08-19-2021 :: 12:21:35] [World] [World Server] Setting to 'beholder' (16:0)
[08-19-2021 :: 12:21:35] [World] [World Server] Setting to 'beholder' (16:0)
[08-19-2021 :: 12:24:08] [World] [World Server] Setting to 'runnyeye' (11:0)
[08-19-2021 :: 12:24:10] [World] [World Server] Setting to 'runnyeye' (11:0)
[08-19-2021 :: 15:56:50] [World] [World Server] Setting to 'gfaydark' (54:0)
[08-19-2021 :: 15:56:50] [World] [World Server] Setting to 'gfaydark' (54:0)
[08-19-2021 :: 16:11:04] [World] [World Server] Setting to 'qrg' (3:0)
[08-19-2021 :: 16:11:04] [World] [World Server] Setting to 'qrg' (3:0)
[08-19-2021 :: 16:13:21] [World] [World Server] Setting to 'qeytoqrg' (4:0)
[08-19-2021 :: 16:13:22] [World] [World Server] Setting to 'qeytoqrg' (4:0)
[08-19-2021 :: 16:17:43] [World] [World Server] Setting to 'qey2hh1' (12:0)
[08-19-2021 :: 16:17:44] [World] [World Server] Setting to 'qey2hh1' (12:0)
[08-19-2021 :: 16:34:30] [World] [World Server] Setting to 'northkarana' (13:0)
[08-19-2021 :: 16:34:31] [World] [World Server] Setting to 'northkarana' (13:0)
[08-19-2021 :: 16:38:30] [World] [World Server] Setting to 'southkarana' (14:0)
[08-19-2021 :: 16:38:30] [World] [World Server] Setting to 'southkarana' (14:0)
[08-19-2021 :: 16:39:21] [World] [World Server] Setting to 'northkarana' (13:0)
[08-19-2021 :: 16:42:32] [World] [World Server] Setting to 'eastkarana' (15:0)
[08-19-2021 :: 16:42:33] [World] [World Server] Setting to 'eastkarana' (15:0)
[08-19-2021 :: 16:49:08] [World] [World Server] Setting to 'highpass' (5:0)
[08-19-2021 :: 16:49:08] [World] [World Server] Setting to 'highpass' (5:0)
[08-19-2021 :: 16:49:18] [World] [World Server] Setting to 'eastkarana' (15:0)
[08-19-2021 :: 16:49:24] [World] [World Server] Setting to 'highpass' (5:0)
[08-19-2021 :: 16:59:23] [World] [World Server] Setting to 'kithicor' (20:0)
[08-19-2021 :: 16:59:24] [World] [World Server] Setting to 'kithicor' (20:0)
[08-19-2021 :: 16:59:42] [World] [World Server] Setting to 'highpass' (5:0)
[08-19-2021 :: 16:59:46] [World] [World Server] Setting to 'kithicor' (20:0)
[08-19-2021 :: 17:00:17] [World] [World Server] Setting to 'highpass' (5:0)
