[08-16-2021 :: 16:08:00] [World] [Error] Error decrypting message from client
[08-16-2021 :: 16:08:19] [World] [World Server] Setting to 'nro' (34:0)
[08-16-2021 :: 16:08:19] [World] [World Server] Setting to 'nro' (34:0)
[08-16-2021 :: 16:08:28] [World] [World Server] Setting to 'ecommons' (22:0)
[08-16-2021 :: 16:08:28] [World] [World Server] Setting to 'ecommons' (22:0)
[08-16-2021 :: 16:09:10] [World] [World Server] Setting to 'nro' (34:0)
[08-16-2021 :: 16:09:25] [World] [World Server] Setting to 'ecommons' (22:0)
[08-16-2021 :: 16:09:50] [World] [World Server] Setting to 'nro' (34:0)
[08-16-2021 :: 16:12:56] [World] [World Server] Setting to 'ecommons' (22:0)
[08-16-2021 :: 16:13:39] [World] [World Server] Setting to 'nro' (34:0)
[08-16-2021 :: 16:13:43] [World] [World Server] Setting to 'ecommons' (22:0)
[08-16-2021 :: 16:13:48] [World] [World Server] Setting to 'nro' (34:0)
[08-16-2021 :: 16:13:57] [World] [World Server] Setting to 'ecommons' (22:0)
[08-16-2021 :: 16:14:15] [World] [World Server] Setting to 'nro' (34:0)
[08-16-2021 :: 16:14:28] [World] [World Server] Setting to 'ecommons' (22:0)
[08-16-2021 :: 19:39:10] [World] [World Server] Setting to 'ecommons' (22:0)
[08-16-2021 :: 19:39:10] [World] [World Server] Setting to 'ecommons' (22:0)
[08-16-2021 :: 19:39:22] [World] [World Server] Setting to 'nro' (34:0)
[08-16-2021 :: 19:39:23] [World] [World Server] Setting to 'nro' (34:0)
[08-16-2021 :: 19:39:30] [World] [World Server] Setting to 'ecommons' (22:0)
[08-16-2021 :: 19:39:35] [World] [World Server] Setting to 'nro' (34:0)
[08-16-2021 :: 19:39:39] [World] [World Server] Setting to 'ecommons' (22:0)
[08-16-2021 :: 19:39:45] [World] [World Server] Setting to 'nro' (34:0)
[08-16-2021 :: 19:40:06] [World] [World Server] Setting to 'ecommons' (22:0)
[08-16-2021 :: 19:43:47] [World] [World Server] Setting to 'freportw' (9:0)
[08-16-2021 :: 19:43:48] [World] [World Server] Setting to 'freportw' (9:0)
[08-16-2021 :: 19:54:08] [World] [World Server] Setting to 'freporte' (10:0)
[08-16-2021 :: 19:54:10] [World] [World Server] Setting to 'freporte' (10:0)
[08-16-2021 :: 19:54:31] [World] [World Server] Setting to 'freportw' (9:0)
[08-16-2021 :: 19:54:36] [World] [World Server] Setting to 'freporte' (10:0)
[08-16-2021 :: 19:54:41] [World] [World Server] Setting to 'freportw' (9:0)
[08-16-2021 :: 19:54:45] [World] [World Server] Setting to 'freporte' (10:0)
