[08-06-2021 :: 03:06:30] [World] [Error] Error decrypting message from client
[08-06-2021 :: 03:07:17] [World] [World Server] Setting to 'nro' (34:0)
[08-06-2021 :: 03:07:17] [World] [World Server] Setting to 'nro' (34:0)
[08-06-2021 :: 03:07:51] [World] [World Server] Setting to 'gfaydark' (54:0)
[08-06-2021 :: 03:07:52] [World] [World Server] Setting to 'gfaydark' (54:0)
[08-06-2021 :: 03:08:34] [World] [World Server] Setting to 'ecommons' (22:0)
[08-06-2021 :: 03:08:34] [World] [World Server] Setting to 'ecommons' (22:0)
[08-06-2021 :: 03:10:22] [World] [World Server] Setting to 'kithicor' (20:0)
[08-06-2021 :: 03:10:23] [World] [World Server] Setting to 'kithicor' (20:0)
[08-06-2021 :: 03:10:46] [World] [World Server] Setting to 'gfaydark' (54:0)
[08-06-2021 :: 03:11:00] [World] [World Server] Setting to 'ecommons' (22:0)
[08-06-2021 :: 03:11:09] [World] [World Server] Setting to 'gfaydark' (54:0)
[08-06-2021 :: 03:11:24] [World] [World Server] Setting to 'nektulos' (25:0)
[08-06-2021 :: 03:11:24] [World] [World Server] Setting to 'nektulos' (25:0)
[08-06-2021 :: 03:11:33] [World] [World Server] Setting to 'kithicor' (20:0)
[08-06-2021 :: 03:11:49] [World] [World Server] Setting to 'nro' (34:0)
[08-06-2021 :: 11:18:26] [World] [World Server] Setting to 'nro' (34:0)
[08-06-2021 :: 11:18:26] [World] [World Server] Setting to 'nro' (34:0)
[08-07-2021 :: 10:45:01] [World] [World Server] Setting to 'nro' (34:0)
[08-07-2021 :: 10:45:01] [World] [World Server] Setting to 'nro' (34:0)
[08-07-2021 :: 10:45:38] [World] [World Server] Setting to 'nektulos' (25:0)
[08-07-2021 :: 10:45:38] [World] [World Server] Setting to 'nektulos' (25:0)
[08-07-2021 :: 10:45:53] [World] [World Server] Setting to 'gfaydark' (54:0)
[08-07-2021 :: 10:45:54] [World] [World Server] Setting to 'gfaydark' (54:0)
[08-07-2021 :: 23:08:50] [World] [World Server] Setting to 'gfaydark' (54:0)
[08-07-2021 :: 23:08:50] [World] [World Server] Setting to 'gfaydark' (54:0)
[08-07-2021 :: 23:09:07] [World] [World Server] Setting to 'kithicor' (20:0)
[08-07-2021 :: 23:09:08] [World] [World Server] Setting to 'kithicor' (20:0)
[08-07-2021 :: 23:09:24] [World] [World Server] Setting to 'ecommons' (22:0)
[08-07-2021 :: 23:09:25] [World] [World Server] Setting to 'ecommons' (22:0)
[08-07-2021 :: 23:12:44] [World] [World Server] Setting to 'nro' (34:0)
[08-07-2021 :: 23:12:45] [World] [World Server] Setting to 'nro' (34:0)
[08-07-2021 :: 23:15:40] [World] [World Server] Setting to 'ecommons' (22:0)
[08-07-2021 :: 23:16:03] [World] [World Server] Setting to 'nro' (34:0)
[08-07-2021 :: 23:16:12] [World] [World Server] Setting to 'ecommons' (22:0)
[08-07-2021 :: 23:16:18] [World] [World Server] Setting to 'nro' (34:0)
[08-07-2021 :: 23:16:28] [World] [World Server] Setting to 'ecommons' (22:0)
[08-07-2021 :: 23:16:34] [World] [World Server] Setting to 'nro' (34:0)
[08-07-2021 :: 23:18:29] [World] [World Server] Setting to 'ecommons' (22:0)
[08-07-2021 :: 23:19:45] [World] [World Server] Setting to 'nro' (34:0)
[08-07-2021 :: 23:20:00] [World] [World Server] Setting to 'ecommons' (22:0)
[08-07-2021 :: 23:20:14] [World] [World Server] Setting to 'nro' (34:0)
[08-07-2021 :: 23:23:08] [World] [World Server] Setting to 'freporte' (10:0)
[08-07-2021 :: 23:23:09] [World] [World Server] Setting to 'freporte' (10:0)
[08-07-2021 :: 23:24:49] [World] [World Server] Setting to 'nro' (34:0)
[08-07-2021 :: 23:25:19] [World] [World Server] Setting to 'freporte' (10:0)
[08-07-2021 :: 23:27:40] [World] [World Server] Setting to 'nro' (34:0)
[08-07-2021 :: 23:27:49] [World] [World Server] Setting to 'freporte' (10:0)
[08-07-2021 :: 23:28:49] [World] [World Server] Setting to 'nro' (34:0)
[08-07-2021 :: 23:29:47] [World] [World Server] Setting to 'freporte' (10:0)
[08-07-2021 :: 23:30:28] [World] [World Server] Setting to 'nro' (34:0)
[08-07-2021 :: 23:30:48] [World] [World Server] Setting to 'freporte' (10:0)
[08-07-2021 :: 23:31:01] [World] [World Server] Setting to 'nro' (34:0)
[08-07-2021 :: 23:31:17] [World] [World Server] Setting to 'freporte' (10:0)
[08-07-2021 :: 23:31:32] [World] [World Server] Setting to 'nro' (34:0)
[08-07-2021 :: 23:31:47] [World] [World Server] Setting to 'freporte' (10:0)
[08-07-2021 :: 23:32:39] [World] [World Server] Setting to 'nro' (34:0)
[08-07-2021 :: 23:32:55] [World] [World Server] Setting to 'freporte' (10:0)
[08-07-2021 :: 23:33:17] [World] [World Server] Setting to 'nro' (34:0)
[08-07-2021 :: 23:33:37] [World] [World Server] Setting to 'freporte' (10:0)
[08-07-2021 :: 23:33:50] [World] [World Server] Setting to 'nro' (34:0)
[08-07-2021 :: 23:36:06] [World] [World Server] Setting to 'freporte' (10:0)
[08-07-2021 :: 23:37:04] [World] [World Server] Setting to 'nro' (34:0)
[08-07-2021 :: 23:37:30] [World] [World Server] Setting to 'freporte' (10:0)
[08-07-2021 :: 23:38:26] [World] [World Server] Setting to 'nro' (34:0)
[08-07-2021 :: 23:39:48] [World] [World Server] Setting to 'freporte' (10:0)
[08-07-2021 :: 23:40:00] [World] [World Server] Setting to 'nro' (34:0)
[08-07-2021 :: 23:40:21] [World] [World Server] Setting to 'freporte' (10:0)
[08-07-2021 :: 23:40:44] [World] [World Server] Setting to 'nro' (34:0)
[08-07-2021 :: 23:41:00] [World] [World Server] Setting to 'freporte' (10:0)
[08-07-2021 :: 23:41:09] [World] [World Server] Setting to 'nro' (34:0)
[08-07-2021 :: 23:41:48] [World] [World Server] Setting to 'freporte' (10:0)
[08-07-2021 :: 23:42:38] [World] [World Server] Setting to 'nro' (34:0)
[08-07-2021 :: 23:45:26] [World] [World Server] Setting to 'oasis' (37:0)
[08-07-2021 :: 23:45:27] [World] [World Server] Setting to 'oasis' (37:0)
[08-07-2021 :: 23:48:02] [World] [World Server] Setting to 'nro' (34:0)
[08-07-2021 :: 23:49:46] [World] [World Server] Setting to 'oasis' (37:0)
[08-07-2021 :: 23:50:35] [World] [World Server] Setting to 'nro' (34:0)
[08-07-2021 :: 23:51:16] [World] [World Server] Setting to 'oasis' (37:0)
[08-07-2021 :: 23:51:29] [World] [World Server] Setting to 'nro' (34:0)
[08-07-2021 :: 23:53:11] [World] [World Server] Setting to 'oasis' (37:0)
[08-07-2021 :: 23:53:25] [World] [World Server] Setting to 'nro' (34:0)
[08-07-2021 :: 23:53:39] [World] [World Server] Setting to 'oasis' (37:0)
[08-07-2021 :: 23:54:51] [World] [World Server] Setting to 'nro' (34:0)
[08-07-2021 :: 23:55:03] [World] [World Server] Setting to 'oasis' (37:0)
[08-07-2021 :: 23:55:20] [World] [World Server] Setting to 'nro' (34:0)
[08-07-2021 :: 23:56:16] [World] [World Server] Setting to 'oasis' (37:0)
[08-07-2021 :: 23:56:33] [World] [World Server] Setting to 'nro' (34:0)
[08-07-2021 :: 23:56:48] [World] [World Server] Setting to 'oasis' (37:0)
[08-07-2021 :: 23:56:53] [World] [World Server] Setting to 'nro' (34:0)
[08-07-2021 :: 23:57:13] [World] [World Server] Setting to 'oasis' (37:0)
[08-07-2021 :: 23:58:29] [World] [World Server] Setting to 'nro' (34:0)
[08-07-2021 :: 23:59:10] [World] [World Server] Setting to 'oasis' (37:0)
[08-07-2021 :: 23:59:17] [World] [World Server] Setting to 'nro' (34:0)
[08-08-2021 :: 00:00:39] [World] [World Server] Setting to 'oasis' (37:0)
[08-08-2021 :: 00:01:48] [World] [World Server] Setting to 'nro' (34:0)
[08-08-2021 :: 00:03:33] [World] [World Server] Setting to 'oasis' (37:0)
[08-08-2021 :: 00:03:41] [World] [World Server] Setting to 'nro' (34:0)
[08-08-2021 :: 00:05:24] [World] [World Server] Setting to 'oasis' (37:0)
[08-08-2021 :: 00:06:13] [World] [World Server] Setting to 'nro' (34:0)
[08-08-2021 :: 00:07:11] [World] [World Server] Setting to 'oasis' (37:0)
[08-08-2021 :: 00:07:42] [World] [World Server] Setting to 'nro' (34:0)
[08-08-2021 :: 00:08:23] [World] [World Server] Setting to 'oasis' (37:0)
[08-08-2021 :: 00:09:23] [World] [World Server] Setting to 'nro' (34:0)
[08-08-2021 :: 00:09:38] [World] [World Server] Setting to 'oasis' (37:0)
[08-08-2021 :: 00:09:52] [World] [World Server] Setting to 'nro' (34:0)
[08-08-2021 :: 00:11:04] [World] [World Server] Setting to 'oasis' (37:0)
[08-08-2021 :: 00:11:29] [World] [World Server] Setting to 'nro' (34:0)
[08-08-2021 :: 00:11:43] [World] [World Server] Setting to 'oasis' (37:0)
[08-08-2021 :: 00:13:04] [World] [World Server] Setting to 'nro' (34:0)
[08-08-2021 :: 00:13:04] [World] [World Server] Setting to 'nro' (34:0)
[08-08-2021 :: 00:13:04] [World] [World Server] Setting to 'nro' (34:0)
[08-08-2021 :: 00:13:16] [World] [World Server] Setting to 'oasis' (37:0)
[08-08-2021 :: 00:13:26] [World] [World Server] Setting to 'nro' (34:0)
[08-08-2021 :: 00:13:58] [World] [World Server] Setting to 'oasis' (37:0)
[08-08-2021 :: 00:14:07] [World] [World Server] Setting to 'nro' (34:0)
[08-08-2021 :: 00:15:45] [World] [World Server] Setting to 'oasis' (37:0)
[08-08-2021 :: 00:16:00] [World] [World Server] Setting to 'nro' (34:0)
