[08-12-2021 :: 09:24:33] [World] [Error] Error decrypting message from client
[08-12-2021 :: 09:25:21] [World] [World Server] Setting to 'qeynos2' (2:0)
[08-12-2021 :: 09:25:21] [World] [World Server] Setting to 'qeynos2' (2:0)
[08-12-2021 :: 09:26:13] [World] [World Server] Setting to 'qeytoqrg' (4:0)
[08-12-2021 :: 09:26:13] [World] [World Server] Setting to 'qeytoqrg' (4:0)
[08-12-2021 :: 09:28:59] [World] [World Server] Setting to 'qrg' (3:0)
[08-12-2021 :: 09:29:00] [World] [World Server] Setting to 'qrg' (3:0)
[08-12-2021 :: 09:32:55] [World] [World Server] Setting to 'qrg' (3:0)
[08-12-2021 :: 09:33:33] [World] [World Server] Setting to 'qeytoqrg' (4:0)
[08-12-2021 :: 09:54:45] [World] [World Server] Setting to 'qeytoqrg' (4:0)
[08-12-2021 :: 10:02:26] [World] [World Server] Setting to 'ecommons' (22:0)
[08-12-2021 :: 10:02:27] [World] [World Server] Setting to 'ecommons' (22:0)
[08-12-2021 :: 10:06:35] [World] [World Server] Setting to 'fearplane' (72:0)
[08-12-2021 :: 10:06:36] [World] [World Server] Setting to 'fearplane' (72:0)
[08-12-2021 :: 10:16:50] [World] [World Server] Setting to 'feerrott' (47:0)
[08-12-2021 :: 10:16:50] [World] [World Server] Setting to 'feerrott' (47:0)
[08-12-2021 :: 10:17:28] [World] [World Server] Setting to 'ecommons' (22:0)
[08-12-2021 :: 10:30:23] [World] [World Server] Setting to 'freportw' (9:0)
[08-12-2021 :: 10:30:24] [World] [World Server] Setting to 'freportw' (9:0)
[08-12-2021 :: 11:06:57] [World] [World Server] Setting to 'freporte' (10:0)
[08-12-2021 :: 11:06:58] [World] [World Server] Setting to 'freporte' (10:0)
[08-12-2021 :: 13:40:14] [World] [World Server] Setting to 'freporte' (10:0)
[08-12-2021 :: 13:40:14] [World] [World Server] Setting to 'freporte' (10:0)
[08-12-2021 :: 15:19:11] [World] [World Server] Setting to 'rathemtn' (50:0)
[08-12-2021 :: 15:19:12] [World] [World Server] Setting to 'rathemtn' (50:0)
[08-12-2021 :: 15:31:53] [World] [World Server] Setting to 'lakerathe' (51:0)
[08-12-2021 :: 15:31:54] [World] [World Server] Setting to 'lakerathe' (51:0)
[08-12-2021 :: 15:32:05] [World] [World Server] Setting to 'rathemtn' (50:0)
[08-12-2021 :: 15:32:46] [World] [World Server] Setting to 'lakerathe' (51:0)
[08-12-2021 :: 15:36:26] [World] [World Server] Setting to 'rathemtn' (50:0)
[08-12-2021 :: 15:36:34] [World] [World Server] Setting to 'lakerathe' (51:0)
[08-12-2021 :: 15:40:06] [World] [World Server] Setting to 'rathemtn' (50:0)
[08-12-2021 :: 15:41:01] [World] [World Server] Setting to 'lakerathe' (51:0)
[08-12-2021 :: 15:41:12] [World] [World Server] Setting to 'rathemtn' (50:0)
[08-12-2021 :: 15:41:23] [World] [World Server] Setting to 'lakerathe' (51:0)
[08-12-2021 :: 15:41:29] [World] [World Server] Setting to 'rathemtn' (50:0)
[08-12-2021 :: 15:41:34] [World] [World Server] Setting to 'lakerathe' (51:0)
[08-12-2021 :: 15:44:25] [World] [World Server] Setting to 'lakerathe' (51:0)
[08-12-2021 :: 15:47:37] [World] [World Server] Setting to 'southkarana' (14:0)
[08-12-2021 :: 15:47:37] [World] [World Server] Setting to 'southkarana' (14:0)
[08-12-2021 :: 15:47:45] [World] [World Server] Setting to 'lakerathe' (51:0)
[08-12-2021 :: 15:49:08] [World] [World Server] Setting to 'southkarana' (14:0)
[08-12-2021 :: 15:49:43] [World] [World Server] Setting to 'lakerathe' (51:0)
[08-12-2021 :: 15:50:31] [World] [World Server] Setting to 'southkarana' (14:0)
[08-12-2021 :: 15:50:38] [World] [World Server] Setting to 'lakerathe' (51:0)
[08-12-2021 :: 15:50:51] [World] [World Server] Setting to 'southkarana' (14:0)
[08-12-2021 :: 15:50:57] [World] [World Server] Setting to 'lakerathe' (51:0)
[08-12-2021 :: 15:52:15] [World] [World Server] Setting to 'southkarana' (14:0)
[08-12-2021 :: 15:53:15] [World] [World Server] Setting to 'lakerathe' (51:0)
[08-12-2021 :: 15:53:21] [World] [World Server] Setting to 'southkarana' (14:0)
[08-12-2021 :: 15:53:27] [World] [World Server] Setting to 'lakerathe' (51:0)
[08-12-2021 :: 15:57:12] [World] [World Server] Setting to 'southkarana' (14:0)
[08-12-2021 :: 15:57:21] [World] [World Server] Setting to 'lakerathe' (51:0)
[08-12-2021 :: 15:57:26] [World] [World Server] Setting to 'southkarana' (14:0)
[08-12-2021 :: 15:57:31] [World] [World Server] Setting to 'lakerathe' (51:0)
[08-12-2021 :: 16:00:33] [World] [World Server] Setting to 'arena' (77:0)
[08-12-2021 :: 16:00:34] [World] [World Server] Setting to 'arena' (77:0)
[08-12-2021 :: 16:00:45] [World] [World Server] Setting to 'lakerathe' (51:0)
[08-12-2021 :: 16:01:09] [World] [World Server] Setting to 'arena' (77:0)
[08-12-2021 :: 16:04:08] [World] [World Server] Setting to 'lakerathe' (51:0)
[08-12-2021 :: 16:04:46] [World] [World Server] Setting to 'arena' (77:0)
[08-12-2021 :: 16:05:55] [World] [World Server] Setting to 'lakerathe' (51:0)
[08-12-2021 :: 16:06:03] [World] [World Server] Setting to 'arena' (77:0)
[08-12-2021 :: 16:07:09] [World] [World Server] Setting to 'ecommons' (22:0)
[08-12-2021 :: 16:07:10] [World] [World Server] Setting to 'ecommons' (22:0)
[08-12-2021 :: 16:07:47] [World] [World Server] Setting to 'arena' (77:0)
[08-12-2021 :: 16:09:27] [World] [World Server] Setting to 'ecommons' (22:0)
[08-12-2021 :: 16:09:43] [World] [World Server] Setting to 'arena' (77:0)
[08-12-2021 :: 16:10:08] [World] [World Server] Setting to 'lakerathe' (51:0)
[08-12-2021 :: 16:12:17] [World] [World Server] Setting to 'arena' (77:0)
[08-12-2021 :: 16:13:41] [World] [World Server] Setting to 'lakerathe' (51:0)
[08-12-2021 :: 16:14:43] [World] [World Server] Setting to 'arena' (77:0)
[08-12-2021 :: 16:14:52] [World] [World Server] Setting to 'lakerathe' (51:0)
[08-12-2021 :: 16:14:59] [World] [World Server] Setting to 'arena' (77:0)
[08-12-2021 :: 16:15:03] [World] [World Server] Setting to 'lakerathe' (51:0)
[08-12-2021 :: 16:18:48] [World] [World Server] Setting to 'arena' (77:0)
[08-12-2021 :: 16:18:52] [World] [World Server] Setting to 'lakerathe' (51:0)
[08-12-2021 :: 16:18:57] [World] [World Server] Setting to 'arena' (77:0)
[08-12-2021 :: 16:19:02] [World] [World Server] Setting to 'lakerathe' (51:0)
[08-12-2021 :: 16:20:52] [World] [World Server] Setting to 'southkarana' (14:0)
[08-12-2021 :: 16:21:00] [World] [World Server] Setting to 'lakerathe' (51:0)
[08-12-2021 :: 16:21:05] [World] [World Server] Setting to 'southkarana' (14:0)
[08-12-2021 :: 16:21:10] [World] [World Server] Setting to 'lakerathe' (51:0)
[08-12-2021 :: 16:21:18] [World] [World Server] Setting to 'southkarana' (14:0)
[08-12-2021 :: 16:25:33] [World] [World Server] Setting to 'paw' (18:0)
[08-12-2021 :: 16:25:34] [World] [World Server] Setting to 'paw' (18:0)
[08-12-2021 :: 16:25:51] [World] [World Server] Setting to 'southkarana' (14:0)
[08-12-2021 :: 16:26:09] [World] [World Server] Setting to 'paw' (18:0)
[08-12-2021 :: 16:28:46] [World] [World Server] Setting to 'southkarana' (14:0)
[08-12-2021 :: 16:30:08] [World] [World Server] Setting to 'paw' (18:0)
